t(s),Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 20,Total solute volume 6,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total retention volume 20,Total retention volume 6,Flux surface 30: solute,Flux surface 29: solute,Flux surface 28: solute,Flux surface 31: solute,Flux surface 32: solute,Flux surface 33: solute,Flux surface 34: solute,Flux surface 35: solute,Flux surface 36: solute,Flux surface 37: solute,Flux surface 38: solute,Flux surface 24: solute,Flux surface 25: solute,Flux surface 26: solute,Flux surface 27: solute,Flux surface 21: solute
1.0,6061543983703241.0,61778179437556.6,9481927704685.947,1721117079732.6184,1813712268613.3677,1879195170447.9705,1193898735959.7815,1033314864869.2627,1226219953070.2373,1038942764536.5212,663304078821.7535,648651190883.4493,646362340340.676,653531885143.7948,1.08871239583228e+17,6.499808212754606e+16,74578699775365.3,10698654992028.127,2966364173943.219,2945245530328.522,2937576465355.7695,2147598429923.9146,1834381310073.213,2137464166382.181,1832540360151.0505,1251777559858.0588,1262377452307.8232,1262361342829.9915,1258093525374.7146,1.0887123958322808e+17,-5546.925390169599,-8000.502628554652,-10114.171427334508,-10234.717953896617,-6769.671475319095,-8413.850864855181,-6929.354379402308,-1559.9742994532053,-2484.715649094833,-2568.7114206734523,-2810.134449795245,1165651392.5857472,949348302.1990399,366651400.6502008,450729342.1906389,179942208888309.5
2.01,6085915115724758.0,120561511226879.64,21527490188103.324,3840343230533.685,4062040373669.8916,4218666302387.92,2655675630575.4893,2294210890384.185,2732884981545.259,2307582814192.118,1467286644927.8306,1432444264562.9343,1426992213777.4373,1444140077072.5613,2.188150155638192e+17,6.5245736731241096e+16,144932659517072.53,24275517949271.594,6627862186925.678,6606072677203.666,6605517333463.248,4782985206555.328,4078008119034.679,4770218459629.749,4075703806025.251,2772381055129.097,2790808797130.635,2789968058497.5625,2783043231444.453,2.188150155638192e+17,24959.976940582976,31174.777964645167,34307.832612190774,32129.0466109784,34613.632961056595,29723.80710868841,34158.5197912159,4407.32032900237,6373.061824843406,6565.327011489393,7190.333619905565,567867473.9196584,450592399.4746069,173136244.368929,224250900.32831874,179658244911280.56
3.0301,6110473611955862.0,184487097110670.06,35788611939441.59,6312672251516.466,6693655123707.01,6962647851642.358,4356032932384.695,3758214523256.3687,4488660131060.591,3781133093003.7363,2397424333499.8867,2337765547477.6646,2328383468018.257,2357864705816.3525,3.298428620520519e+17,6.549520526701534e+16,221403917507771.1,40341862342149.37,10907478793033.578,10899796526815.426,10917252958292.947,7853821074832.4,6687730743912.356,7843999448546.303,6686030999027.815,4534517070110.2295,4558911058234.091,4556557800268.305,4548123621325.936,3.298428620520519e+17,-12977.010358372569,-6751.497670019411,2865.887709612727,8056.555130487542,-11838.558049649973,1683.1511581012205,-11893.392690876417,-7058.339914637447,-4371.9570504747135,-4145.07154025097,-4153.950159421929,122646586.58673029,83023212.77522114,31570937.7943768,53404652.45303033,179372649717339.34
4.060401,6135220545706360.0,253448925760293.12,52033156951067.67,9105777659853.531,9672151343639.756,10071889716211.152,6273749493859.232,5407557936945.945,6470979118002.1,5441612990042.808,3443054233304.9688,3354562665163.0977,3340557075611.034,3384423992155.902,4.41966150622348e+17,6.5746617090858504e+16,303868756402243.1,58638060891059.87,15749964922457.998,15767852130520.469,15811950146551.852,11322238736919.5,9632261669553.404,11319780598068.918,9632039761386.385,6518171186510.18,6547224105472.309,6542747292542.03,6533670883453.895,4.41966150622348e+17,-49494.967860203054,-59049.52763951865,-61212.57736344223,-51995.56930740963,-66007.99771949781,-52247.45593527347,-64544.46651303862,-19257.727328668563,-21377.34726901807,-21689.870831956167,-22215.954090002495,-196194199.36417863,-176781172.71020535,-67876149.54475011,-70700397.21071905,179085423081142.7
5.10100501,6160156944712196.0,327355877934633.7,70098810725076.01,12195905102040.441,12971032580093.064,13517989000035.664,8393129562359.308,7229068003323.527,8663225112401.134,7275700026736.283,4596204055316.936,4475285181613.45,4456014166575.548,4516110823705.891,5.5519620113707776e+17,6.599998326618343e+16,392220860724892.2,78982376372822.97,21114792463521.34,21167695657462.45,21245681848338.324,15160275335721.207,12888443939826.734,15168876496466.53,12890446514942.723,8708403360510.413,8741152659800.762,8733991769702.86,8724966203170.43,5.5519620113707776e+17,-11636.79016780043,-34430.675892291954,-57328.529773522205,-61931.18437845611,-45834.29613235539,-50104.57333935964,-43099.34418249597,-4590.777979388644,-13045.38021618476,-14078.228009649281,-13759.680647110745,-411357892.9339453,-348962155.24788094,-133472788.4668607,-155931017.99522978,178796565384091.56
6.1520150601,6185283836627283.0,406130288054295.1,89867766714089.42,15565231738102.41,16570555539964.533,17279868595778.03,10702339943161.637,9212789588078.02,11052910934708.467,9273330779897.307,5850813242991.669,5694172757881.559,5669031764264.716,5747054437115.871,6.695443483912705e+17,6.625531486278234e+16,486369648457871.44,101242794125067.73,26971624073225.71,27067707546081.543,27185941803550.96,19346894741318.184,16438817239616.871,19369782179895.617,16443705429451.814,11093879906456.07,11129583178654.682,11119212100687.535,11110819105637.777,6.695443483912705e+17,68704.18194808482,54948.537381920425,28171.97847144515,2730.8246383144096,42474.57826269133,20008.505784585817,44411.805662284794,35308.94823319485,25821.589475380642,24686.642785475604,26241.21417262008,-542457763.2200024,-450775418.42190903,-172158207.72922567,-209212068.5647739,178506077174516.12
7.213535210701,6210602248943326.0,489706653002821.1,111252135547852.78,19200138933278.258,20455705025089.516,21341542813991.92,13192308566895.807,11351072967298.785,13630484179191.043,11426774640044.44,7202206997077.057,7006770376438.454,6975182702838.9375,7072719550049.657,7.850219823658268e+17,6.651262295634776e+16,586238771073159.5,125320757804706.75,33297349134489.484,33443920854578.348,33608164226138.2,23866014715635.535,20270004253034.312,23906097544390.32,20278379160671.285,13665882052385.611,13703941762864.045,13689858746993.803,13682606159218.412,7.850219823658268e+17,105700.03352783335,123668.7993246669,123284.0317227111,93681.16063406736,129240.65074742831,101387.56010490214,127767.78240003483,70881.71714488899,69378.51085629902,69280.0969508188,70593.43253470084,-606370902.3276613,-496943847.8178328,-189743229.61605185,-236607305.7036809,178213959169509.3
8.28567056280801,6236113208923608.0,578030486187311.6,134185064858097.47,23090061306629.63,24614866747926.742,25690667390192.203,15855982352409.467,13637958312115.06,16388528327188.639,13730009781581.621,8646735712395.295,8409593475707.655,8371003713822.454,8489561572929.486,9.016405719931867e+17,6.677191862781788e+16,691764782277507.4,151141258279869.47,40074108323011.15,40277876624098.37,40493465331722.33,28705177368126.723,24371622149190.25,28765139464647.656,24384041140396.586,16417626242338.486,16457543308921.783,16439264520901.105,16433609094943.523,9.016405719931867e+17,46472.344927920814,98792.11595572792,142966.670382685,139137.99927272077,143395.67427070515,124890.45814245073,137236.7025674235,68605.3019011904,81910.95047908826,83795.41474868477,82506.5643970014,-617554527.670262,-499970018.55647,-191079632.8055034,-243396452.5277565,177920212256586.7
9.36852726843609,6261817743526182.0,671057300069773.5,158615026291467.3,27226704816363.844,29038938177825.344,30317576081727.836,18687818138603.047,16068752912725.822,19321218386134.63,16178294948658.922,10181523869512.766,9899893159707.027,9853762526579.99,9994785590836.182,1.0194116783166052e+18,6.703321296260341e+16,802895956022795.2,178646452629940.84,47287951333440.17,47555186795849.96,47827142794675.74,33854637005193.832,28735534831073.074,33936996017972.12,28752522305543.82,19343790755769.098,19385135131362.71,19362190380420.363,19358552052926.094,1.0194116783166052e+18,-87217.97782320179,-24827.99630989519,52227.92482923455,95252.9003296058,58207.9172033079,58663.946984821196,48650.51047039928,13631.034774159798,41514.76622866203,45456.28763050272,40150.36499886193,-588329133.8965981,-470413143.89993197,-180203735.09823596,-234148319.38930196,177624837495422.75
10.46221254112045,6287716879350932.0,768751702318288.9,184501946423819.1,31603504821057.312,33720719239442.598,35214624912356.79,21683426983113.207,18639735276986.93,22423942632345.996,18767869985621.902,11804292262667.137,11475489006972.984,11421291913798.375,11586175180215.6,1.1383469608183122e+18,6.729651705005722e+16,919591236493860.5,207791341066594.94,54927906431301.875,55264549285377.31,55597654395730.734,39306722698085.42,33355329533471.582,39413869269764.92,33377384302498.176,22440180578454.004,22482571970896.64,22454501765173.6,22453272871252.207,1.1383469608183122e+18,-214783.12439576103,-183682.48284299913,-114469.27434090145,-29998.357139321866,-97154.99175562576,-74857.9240174786,-106312.27407315087,-81020.75444186173,-47313.59583237556,-42404.749264259604,-50800.29705384857,-529132056.737239,-417134673.3182301,-160458345.80540186,-212789824.99099666,177327836119368.66
